date,event,fighter,elo
1993-11-12,UFC 1: The Beginning,Royce Gracie,1016.0
1993-11-12,UFC 1: The Beginning,Gerard Gordeau,984.0
1993-11-12,UFC 1: The Beginning,Jason DeLucia,1016.0
1993-11-12,UFC 1: The Beginning,Trent Jenkins,984.0
1993-11-12,UFC 1: The Beginning,Royce Gracie,1031.263693206478
1993-11-12,UFC 1: The Beginning,Ken Shamrock,984.736306793522
1993-11-12,UFC 1: The Beginning,Gerard Gordeau,1000.736306793522
1993-11-12,UFC 1: The Beginning,Kevin Rosier,983.263693206478
1993-11-12,UFC 1: The Beginning,Ken Shamrock,1001.4387739660466
1993-11-12,UFC 1: The Beginning,Patrick Smith,983.2975328274754
1993-11-12,UFC 1: The Beginning,Royce Gracie,1045.8278203282016
1993-11-12,UFC 1: The Beginning,Art Jimmerson,985.4358728782763
1993-11-12,UFC 1: The Beginning,Kevin Rosier,1000.0338330211207
1993-11-12,UFC 1: The Beginning,Zane Frazier,983.2298601853573
1993-11-12,UFC 1: The Beginning,Gerard Gordeau,1016.7023986633528
1993-11-12,UFC 1: The Beginning,Teila Tuli,984.0339081301692
1994-03-11,UFC 2: No Way Out,Royce Gracie,1058.978888427034
1994-03-11,UFC 2: No Way Out,Patrick Smith,970.1464647286431
1994-03-11,UFC 2: No Way Out,Royce Gracie,1072.288602472469
1994-03-11,UFC 2: No Way Out,Remco Pardoel,986.690285954565
1994-03-11,UFC 2: No Way Out,Patrick Smith,987.5178973206805
1994-03-11,UFC 2: No Way Out,Johnny Rhodes,982.6285674079626
1994-03-11,UFC 2: No Way Out,Royce Gracie,1085.7188606160462
1994-03-11,UFC 2: No Way Out,Jason DeLucia,1002.5697418564228
1994-03-11,UFC 2: No Way Out,Remco Pardoel,1003.302921278749
1994-03-11,UFC 2: No Way Out,Orlando Wiet,983.3873646758161
1994-03-11,UFC 2: No Way Out,Johnny Rhodes,999.4278854817425
1994-03-11,UFC 2: No Way Out,Fred Ettish,983.2006819262201
1994-03-11,UFC 2: No Way Out,Patrick Smith,1004.0924722109431
1994-03-11,UFC 2: No Way Out,Scott Morris,983.4254251097374
1994-03-11,UFC 2: No Way Out,Royce Gracie,1097.8495528646822
1994-03-11,UFC 2: No Way Out,Minoki Ichihara,987.869307751364
1994-03-11,UFC 2: No Way Out,Jason DeLucia,1018.4514030285113
1994-03-11,UFC 2: No Way Out,Scott Baker,984.1183388279114
1994-03-11,UFC 2: No Way Out,Remco Pardoel,1019.1508207147504
1994-03-11,UFC 2: No Way Out,Alberto Cerra Leon,984.1521005639986
1994-03-11,UFC 2: No Way Out,Orlando Wiet,1000.1518223068607
1994-03-11,UFC 2: No Way Out,Robert Lucarelli,983.2355423689554
1994-03-11,UFC 2: No Way Out,Freek Hamaker,1016.0
1994-03-11,UFC 2: No Way Out,Thaddeus Luster,984.0
1994-03-11,UFC 2: No Way Out,Johnny Rhodes,1015.4542323051534
1994-03-11,UFC 2: No Way Out,David Levicki,983.9736531765891
1994-03-11,UFC 2: No Way Out,Patrick Smith,1019.9040156166488
1994-03-11,UFC 2: No Way Out,Ray Wizard,984.1884565942943
1994-03-11,UFC 2: No Way Out,Scott Morris,1000.1881339850439
1994-03-11,UFC 2: No Way Out,Sean Daugherty,983.2372911246935
1994-09-09,UFC 3: The American Dream,Steve Jennum,1016.0
1994-09-09,UFC 3: The American Dream,Harold Howard,984.0
1994-09-09,UFC 3: The American Dream,Ken Shamrock,1017.3725163550666
1994-09-09,UFC 3: The American Dream,Felix Mitchell,984.06625761098
1994-09-09,UFC 3: The American Dream,Royce Gracie,1109.4588906592178
1994-09-09,UFC 3: The American Dream,Kimo Leopoldo,988.3906622054645
1994-09-09,UFC 3: The American Dream,Harold Howard,1000.736306793522
1994-09-09,UFC 3: The American Dream,Roland Payne,983.263693206478
1994-09-09,UFC 3: The American Dream,Ken Shamrock,1032.5731484967228
1994-09-09,UFC 3: The American Dream,Cristophe Leninger,984.7993678583438
1994-09-09,UFC 3: The American Dream,Keith Hackney,1016.0
1994-09-09,UFC 3: The American Dream,Emmanuel Yarborough,984.0
1994-12-16,UFC 4: Revenge of the Warriors,Royce Gracie,1120.5785311324955
1994-12-16,UFC 4: Revenge of the Warriors,Dan Severn,988.8803595267221
1994-12-16,UFC 4: Revenge of the Warriors,Guy Mezger,1016.0
1994-12-16,UFC 4: Revenge of the Warriors,Jason Fairn,984.0
1994-12-16,UFC 4: Revenge of the Warriors,Dan Severn,1005.3922631232668
1994-12-16,UFC 4: Revenge of the Warriors,Marcus Bossett,983.4880964034553
1994-12-16,UFC 4: Revenge of the Warriors,Royce Gracie,1131.9028737256106
1994-12-16,UFC 4: Revenge of the Warriors,Keith Hackney,1004.675657406885
1994-12-16,UFC 4: Revenge of the Warriors,Dan Severn,1021.1439601659862
1994-12-16,UFC 4: Revenge of the Warriors,Anthony Macias,984.2483029572807
1994-12-16,UFC 4: Revenge of the Warriors,Steve Jennum,1031.263693206478
1994-12-16,UFC 4: Revenge of the Warriors,Melton Bowen,984.736306793522
1994-12-16,UFC 4: Revenge of the Warriors,Keith Hackney,1020.4603484238611
1994-12-16,UFC 4: Revenge of the Warriors,Joe Son,984.2153089830239
1994-12-16,UFC 4: Revenge of the Warriors,Royce Gracie,1142.1044600004338
1994-12-16,UFC 4: Revenge of the Warriors,Ron Van Clief,989.7984137251767
1994-12-16,UFC 4: Revenge of the Warriors,Marcus Bossett,1000.2479256926094
1994-12-16,UFC 4: Revenge of the Warriors,Eldo Dias Xavier,983.2401707108459
1994-12-16,UFC 4: Revenge of the Warriors,Joe Charles,1016.0015580681968
1994-12-16,UFC 4: Revenge of the Warriors,Kevin Rosier,984.0322749529239
1995-04-07,UFC 5: Return of the Beast,Dan Severn,1036.1714451221692
1995-04-07,UFC 5: Return of the Beast,Dave Beneteau,984.9725150438171
1995-04-07,UFC 5: Return of the Beast,Ken Shamrock,1032.5731484967228
1995-04-07,UFC 5: Return of the Beast,Royce Gracie,1142.1044600004338
1995-04-07,UFC 5: Return of the Beast,Dan Severn,1050.511680831171
1995-04-07,UFC 5: Return of the Beast,Oleg Taktarov,985.6597642909984
1995-04-07,UFC 5: Return of the Beast,Dave Beneteau,1001.6641250698216
1995-04-07,UFC 5: Return of the Beast,Todd Medina,983.3083899739955
1995-04-07,UFC 5: Return of the Beast,Dan Severn,1064.9276369552017
1995-04-07,UFC 5: Return of the Beast,Joe Charles,1001.585601944166
1995-04-07,UFC 5: Return of the Beast,Oleg Taktarov,1002.3197817942387
1995-04-07,UFC 5: Return of the Beast,Ernie Verdicia,983.3399824967597
1995-04-07,UFC 5: Return of the Beast,Todd Medina,1000.0764761826517
1995-04-07,UFC 5: Return of the Beast,Larry Cureton,983.2319137913438
1995-04-07,UFC 5: Return of the Beast,Jon Hess,1016.0
1995-04-07,UFC 5: Return of the Beast,Andy Anderson,984.0
1995-04-07,UFC 5: Return of the Beast,Dave Beneteau,1017.5874898642919
1995-04-07,UFC 5: Return of the Beast,Asbel Cancio,984.0766352055297
1995-04-07,UFC 5: Return of the Beast,Guy Mezger,1031.263693206478
1995-04-07,UFC 5: Return of the Beast,John Dowdy,984.736306793522
1995-07-14,UFC 6: Clash of the Titans,Oleg Taktarov,1018.212953482155
1995-07-14,UFC 6: Clash of the Titans,David Abbott,984.1068283120837
1995-07-14,UFC 6: Clash of the Titans,Ken Shamrock,1050.0588355957354
1995-07-14,UFC 6: Clash of the Titans,Dan Severn,1047.441949856189
1995-07-14,UFC 6: Clash of the Titans,Oleg Taktarov,1032.6537871634187
1995-07-14,UFC 6: Clash of the Titans,Anthony Macias,969.8074692760171
1995-07-14,UFC 6: Clash of the Titans,David Abbott,1000.8382258293249
1995-07-14,UFC 6: Clash of the Titans,Paul Varelans,983.2686024827589
1995-07-14,UFC 6: Clash of the Titans,Oleg Taktarov,1047.960393111219
1995-07-14,UFC 6: Clash of the Titans,Dave Beneteau,1002.2808839164917
1995-07-14,UFC 6: Clash of the Titans,Patrick Smith,1034.9884032711707
1995-07-14,UFC 6: Clash of the Titans,Rudyard Moncayo,984.915612345478
1995-07-14,UFC 6: Clash of the Titans,Paul Varelans,1000.0385167405168
1995-07-14,UFC 6: Clash of the Titans,Cal Worsham,983.2300857422421
1995-07-14,UFC 6: Clash of the Titans,David Abbott,1016.7996241782374
1995-07-14,UFC 6: Clash of the Titans,John Matua,984.0386016510874
1995-07-14,UFC 6: Clash of the Titans,Anthony Macias,987.1943971886776
1995-07-14,UFC 6: Clash of the Titans,He-Man Gipson,982.6130720873394
1995-07-14,UFC 6: Clash of the Titans,Joel Sutton,1016.0
1995-07-14,UFC 6: Clash of the Titans,Jack McGlaughlin,984.0
1995-09-08,UFC 7: The Brawl in Buffalo,Marco Ruas,1016.0017737614436
1995-09-08,UFC 7: The Brawl in Buffalo,Paul Varelans,984.0367429790732
1995-09-08,UFC 7: The Brawl in Buffalo,Ken Shamrock,1050.0588355957354
1995-09-08,UFC 7: The Brawl in Buffalo,Oleg Taktarov,1047.960393111219
1995-09-08,UFC 7: The Brawl in Buffalo,Marco Ruas,1032.1467887618885
1995-09-08,UFC 7: The Brawl in Buffalo,Remco Pardoel,1003.0058057143056
1995-09-08,UFC 7: The Brawl in Buffalo,Paul Varelans,1000.7713612710861
1995-09-08,UFC 7: The Brawl in Buffalo,Mark Hall,983.2653817079871
1995-09-08,UFC 7: The Brawl in Buffalo,Marco Ruas,1045.908941740537
1995-09-08,UFC 7: The Brawl in Buffalo,Larry Cureton,969.4697608126952
1995-09-08,UFC 7: The Brawl in Buffalo,Remco Pardoel,1018.867386699091
1995-09-08,UFC 7: The Brawl in Buffalo,Ryan Parker,984.1384190152146
1995-09-08,UFC 7: The Brawl in Buffalo,Paul Varelans,1016.7358388301683
1995-09-08,UFC 7: The Brawl in Buffalo,Gerry Harris,984.0355224409178
1995-09-08,UFC 7: The Brawl in Buffalo,Mark Hall,1000.0692700799304
1995-09-08,UFC 7: The Brawl in Buffalo,Harold Howard,983.9324184215786
1995-09-08,UFC 7: The Brawl in Buffalo,Scott Bessac,1016.0
1995-09-08,UFC 7: The Brawl in Buffalo,David Hood,984.0
1995-09-08,UFC 7: The Brawl in Buffalo,Onassis Parungao,1016.0
1995-09-08,UFC 7: The Brawl in Buffalo,Francesco Maturi,984.0
1995-09-08,UFC 7: The Brawl in Buffalo,Joel Sutton,1031.263693206478
1995-09-08,UFC 7: The Brawl in Buffalo,Geza Kalman,984.736306793522
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Dan Severn,1063.4658250326802
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Oleg Taktarov,1031.9365179347278
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Dan Severn,1077.3295980691785
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,David Abbott,1002.9358511417391
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Oleg Taktarov,1048.579625164915
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Marco Ruas,1029.26583451035
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,David Abbott,1020.2375133567241
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Steve Jennum,1013.962030991493
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Dan Severn,1090.5671040389627
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Paul Varelans,1003.4983328603842
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Marco Ruas,1044.860413691272
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Keith Hackney,1004.8657692429392
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Oleg Taktarov,1062.4600210280228
