event,date,weight_class_lbs,method,round,time,fighter_1,fighter_1_age,fighter_1_height_in,fighter_1_reach_in,fighter_2,fighter_2_age,fighter_2_height_in,fighter_2_reach_in,winner
UFC 1: The Beginning,1993-11-12,,Submission,1.0,1:44,Royce Gracie,26.0,72.0,,Gerard Gordeau,38.0,77.0,,fighter_1
UFC 1: The Beginning,1993-11-12,,Submission,1.0,0:52,Jason DeLucia,24.0,71.0,,Trent Jenkins,,74.0,,fighter_1
UFC 1: The Beginning,1993-11-12,,Submission,1.0,0:57,Royce Gracie,26.0,72.0,,Ken Shamrock,29.0,73.0,,fighter_1
UFC 1: The Beginning,1993-11-12,,KO/TKO,1.0,0:59,Gerard Gordeau,38.0,77.0,,Kevin Rosier,31.0,76.0,,fighter_1
UFC 1: The Beginning,1993-11-12,,Submission,1.0,1:49,Ken Shamrock,29.0,73.0,72.4,Patrick Smith,30.0,74.0,,fighter_1
UFC 1: The Beginning,1993-11-12,,Submission,1.0,2:18,Royce Gracie,26.0,72.0,,Art Jimmerson,30.0,73.0,,fighter_1
UFC 1: The Beginning,1993-11-12,,KO/TKO,1.0,4:20,Kevin Rosier,31.0,76.0,79.1,Zane Frazier,,78.0,,fighter_1
UFC 1: The Beginning,1993-11-12,,KO/TKO,1.0,0:26,Gerard Gordeau,38.0,77.0,,Teila Tuli,24.0,74.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,1:17,Royce Gracie,27.0,72.0,,Patrick Smith,30.0,74.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,1:31,Royce Gracie,27.0,72.0,,Remco Pardoel,24.0,74.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,1:07,Patrick Smith,30.0,74.0,,Johnny Rhodes,,72.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,1:07,Royce Gracie,27.0,72.0,,Jason DeLucia,24.0,71.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,KO/TKO,1.0,1:29,Remco Pardoel,24.0,74.0,,Orlando Wiet,28.0,70.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,3:07,Johnny Rhodes,,72.0,,Fred Ettish,38.0,72.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,KO/TKO,1.0,0:30,Patrick Smith,30.0,74.0,,Scott Morris,,72.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,5:08,Royce Gracie,27.0,72.0,,Minoki Ichihara,25.0,67.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,KO/TKO,1.0,6:41,Jason DeLucia,24.0,71.0,,Scott Baker,,72.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,9:51,Remco Pardoel,24.0,74.0,,Alberto Cerra Leon,,68.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,KO/TKO,1.0,2:50,Orlando Wiet,28.0,70.0,,Robert Lucarelli,,74.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,4:52,Freek Hamaker,,74.0,,Thaddeus Luster,,75.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,12:13,Johnny Rhodes,,72.0,,David Levicki,,77.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,0:58,Patrick Smith,30.0,74.0,,Ray Wizard,,70.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,0:20,Scott Morris,,72.0,,Sean Daugherty,18.0,70.0,,fighter_1
UFC 3: The American Dream,1994-09-09,,Submission,1.0,1:27,Steve Jennum,30.0,70.0,,Harold Howard,,74.0,,fighter_1
UFC 3: The American Dream,1994-09-09,,Submission,1.0,4:34,Ken Shamrock,30.0,73.0,72.4,Felix Mitchell,,71.0,,fighter_1
UFC 3: The American Dream,1994-09-09,,Submission,1.0,4:40,Royce Gracie,27.0,72.0,,Kimo Leopoldo,26.0,75.0,,fighter_1
UFC 3: The American Dream,1994-09-09,,KO/TKO,1.0,0:46,Harold Howard,,74.0,,Roland Payne,,69.0,,fighter_1
UFC 3: The American Dream,1994-09-09,,Submission,1.0,4:49,Ken Shamrock,30.0,73.0,72.4,Cristophe Leninger,,72.0,,fighter_1
UFC 3: The American Dream,1994-09-09,,KO/TKO,1.0,1:59,Keith Hackney,36.0,71.0,,Emmanuel Yarborough,34.0,80.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,15:49,Royce Gracie,28.0,72.0,,Dan Severn,36.0,74.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,KO/TKO,1.0,2:13,Guy Mezger,26.0,73.0,,Jason Fairn,,73.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,0:52,Dan Severn,36.0,74.0,,Marcus Bossett,,73.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,5:32,Royce Gracie,28.0,72.0,,Keith Hackney,36.0,71.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,1:45,Dan Severn,36.0,74.0,,Anthony Macias,,70.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,4:47,Steve Jennum,31.0,70.0,,Melton Bowen,25.0,72.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,2:44,Keith Hackney,36.0,71.0,,Joe Son,24.0,64.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,3:59,Royce Gracie,28.0,72.0,,Ron Van Clief,51.0,70.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,KO/TKO,1.0,4:55,Marcus Bossett,,73.0,,Eldo Dias Xavier,,71.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,0:14,Joe Charles,,73.0,,Kevin Rosier,32.0,76.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,Submission,1.0,3:01,Dan Severn,36.0,74.0,,Dave Beneteau,,74.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,Other,,36:00,Ken Shamrock,31.0,73.0,72.4,Royce Gracie,28.0,72.0,,draw
UFC 5: Return of the Beast,1995-04-07,,KO/TKO,1.0,4:21,Dan Severn,36.0,74.0,,Oleg Taktarov,26.0,72.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,KO/TKO,1.0,2:12,Dave Beneteau,,74.0,,Todd Medina,24.0,70.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,Submission,1.0,1:38,Dan Severn,36.0,74.0,,Joe Charles,,73.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,Submission,1.0,2:23,Oleg Taktarov,26.0,72.0,,Ernie Verdicia,,70.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,KO/TKO,1.0,2:55,Todd Medina,24.0,70.0,,Larry Cureton,,74.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,KO/TKO,1.0,1:23,Jon Hess,,79.0,,Andy Anderson,,66.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,KO/TKO,1.0,0:21,Dave Beneteau,,74.0,,Asbel Cancio,,70.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,KO/TKO,1.0,2:02,Guy Mezger,27.0,73.0,,John Dowdy,,74.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,Submission,1.0,17:45,Oleg Taktarov,27.0,72.0,,David Abbott,30.0,72.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,Submission,1.0,2:14,Ken Shamrock,31.0,73.0,72.4,Dan Severn,37.0,74.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,Submission,1.0,0:09,Oleg Taktarov,27.0,72.0,,Anthony Macias,,70.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,KO/TKO,1.0,1:53,David Abbott,30.0,72.0,,Paul Varelans,25.0,80.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,Submission,1.0,0:57,Oleg Taktarov,27.0,72.0,,Dave Beneteau,,74.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,Submission,1.0,1:08,Patrick Smith,31.0,74.0,,Rudyard Moncayo,22.0,70.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,KO/TKO,1.0,1:02,Paul Varelans,25.0,80.0,,Cal Worsham,32.0,70.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,KO/TKO,1.0,0:20,David Abbott,30.0,72.0,,John Matua,,74.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,Submission,1.0,3:06,Anthony Macias,,70.0,,He-Man Gipson,22.0,73.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,Submission,1.0,2:01,Joel Sutton,26.0,70.0,,Jack McGlaughlin,33.0,70.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,KO/TKO,1.0,13:17,Marco Ruas,34.0,73.0,,Paul Varelans,25.0,80.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Other,,33:00,Ken Shamrock,31.0,73.0,72.4,Oleg Taktarov,27.0,72.0,,draw
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,12:27,Marco Ruas,34.0,73.0,,Remco Pardoel,26.0,74.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,1:04,Paul Varelans,25.0,80.0,,Mark Hall,34.0,72.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,3:23,Marco Ruas,34.0,73.0,,Larry Cureton,,74.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,3:05,Remco Pardoel,26.0,74.0,,Ryan Parker,,75.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,1:07,Paul Varelans,25.0,80.0,,Gerry Harris,,80.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,1:41,Mark Hall,34.0,72.0,,Harold Howard,,74.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,0:31,Scott Bessac,29.0,76.0,,David Hood,,72.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,5:26,Onassis Parungao,,71.0,,Francesco Maturi,,71.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,KO/TKO,1.0,0:48,Joel Sutton,26.0,70.0,,Geza Kalman,,70.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Decision,,30:00,Dan Severn,37.0,74.0,,Oleg Taktarov,27.0,72.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Decision,,18:00,Dan Severn,37.0,74.0,,David Abbott,30.0,72.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Decision,,18:00,Oleg Taktarov,27.0,72.0,,Marco Ruas,34.0,73.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Submission,1.0,1:14,David Abbott,30.0,72.0,,Steve Jennum,32.0,70.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Submission,1.0,1:40,Dan Severn,37.0,74.0,,Paul Varelans,26.0,80.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Submission,1.0,2:39,Marco Ruas,34.0,73.0,,Keith Hackney,37.0,71.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Submission,1.0,1:15,Oleg Taktarov,27.0,72.0,,Dave Beneteau,,74.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Submission,1.0,5:29,Mark Hall,34.0,72.0,,Trent Jenkins,,74.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Submission,1.0,4:38,Joe Charles,,73.0,,Scott Bessac,30.0,76.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,Submission,1.0,2:14,Don Frye,30.0,73.0,,Gary Goodridge,30.0,75.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,Submission,1.0,4:24,Ken Shamrock,32.0,73.0,72.4,Kimo Leopoldo,28.0,75.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,KO/TKO,1.0,5:31,Gary Goodridge,30.0,75.0,,Jerry Bohlander,21.0,71.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,KO/TKO,1.0,0:48,Don Frye,30.0,73.0,,Sam Adkins,30.0,75.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,KO/TKO,1.0,0:13,Gary Goodridge,30.0,75.0,,Paul Herrera,31.0,70.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,Submission,1.0,9:03,Jerry Bohlander,21.0,71.0,,Scott Ferrozzo,30.0,71.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,Decision,,10:00,Paul Varelans,26.0,80.0,,Joe Moreira,34.0,71.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,KO/TKO,1.0,0:08,Don Frye,30.0,73.0,,Thomas Ramirez,,73.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,Submission,1.0,0:50,Sam Adkins,30.0,75.0,,Keith Mielke,,69.0,,fighter_1
UFC 9: Motor City Madness,1996-05-17,,Decision,,30:00,Dan Severn,37.0,74.0,,Ken Shamrock,32.0,73.0,,fighter_1
UFC 9: Motor City Madness,1996-05-17,,KO/TKO,1.0,9:22,Don Frye,30.0,73.0,,Amaury Bitetti,27.0,69.0,,fighter_1
UFC 9: Motor City Madness,1996-05-17,,KO/TKO,1.0,0:40,Mark Hall,35.0,72.0,,Koji Kitao,36.0,79.0,,fighter_1
